epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,14653.7,1.28227,1.5865,1.308,0.52767,0.35701,0.36926,0.25382,1.20354,1.44114,1.24145,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,14997.9,1.2842,1.58582,1.30703,0.53116,0.35529,0.36948,0.25413,1.20256,1.44245,1.24021,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,15342.3,1.27886,1.58075,1.30507,0.52463,0.35754,0.37004,0.2546,1.20148,1.4445,1.23923,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,15736.1,1.27822,1.57767,1.30552,0.52938,0.355,0.37077,0.25534,1.20056,1.44588,1.2388,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,16079.9,1.27621,1.57577,1.30153,0.52072,0.36174,0.37141,0.25589,1.19981,1.44646,1.23765,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,16424,1.27711,1.57303,1.30035,0.52681,0.36332,0.37243,0.25684,1.19885,1.44738,1.23657,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,16775.9,1.27402,1.56627,1.2991,0.52762,0.3632,0.37282,0.2573,1.19806,1.44744,1.23561,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,17119.4,1.27317,1.56357,1.29833,0.52743,0.36423,0.37358,0.25809,1.19657,1.44761,1.23439,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,17471.4,1.27197,1.56328,1.29785,0.52769,0.36323,0.37412,0.25802,1.19536,1.44787,1.23329,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,17819.1,1.27165,1.56055,1.29799,0.52645,0.36594,0.37488,0.25869,1.1943,1.44801,1.23226,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
